Number,Steps,Cache Method,Time (ms),Cache Hit Rate (%)
8827,122,MRU,0.11,1.08%
10397,148,MRU,0.11,1.07%
8345,114,MRU,0.11,1.07%
3975,51,MRU,0.11,1.07%
12407,94,MRU,0.11,1.06%
10366,55,MRU,0.11,1.06%
1725,42,MRU,0.11,1.06%
4272,25,MRU,0.11,1.06%
1516,60,MRU,0.11,1.05%
5363,46,MRU,0.11,1.05%
4231,38,MRU,0.11,1.05%
3331,180,MRU,0.11,1.04%
12346,112,MRU,0.11,1.04%
10511,86,MRU,0.11,1.04%
898,116,MRU,0.11,1.04%
8118,65,MRU,0.11,1.03%
9921,135,MRU,0.11,1.03%
3980,25,MRU,0.11,1.03%
3073,110,MRU,0.11,1.03%
9225,228,MRU,0.11,1.02%
1297,101,MRU,0.11,1.02%
3358,87,MRU,0.11,1.02%
12620,94,MRU,0.11,1.02%
8797,34,MRU,0.11,1.01%
3645,43,MRU,0.11,1.01%
10808,161,MRU,0.11,1.01%
1173,119,MRU,0.11,1.01%
333,112,MRU,0.11,1.00%
9658,73,MRU,0.11,1.00%
458,35,MRU,0.11,1.00%
6630,75,MRU,0.11,1.00%
12924,169,MRU,0.11,0.99%
12435,112,MRU,0.11,0.99%
8895,70,MRU,0.11,0.99%
9246,153,MRU,0.11,0.99%
5741,80,MRU,0.11,0.98%
1378,127,MRU,0.11,0.98%
10915,68,MRU,0.11,0.98%
12179,63,MRU,0.11,0.98%
3684,131,MRU,0.11,0.97%
11564,50,MRU,0.11,0.97%
12299,112,MRU,0.12,0.97%
2059,37,MRU,0.11,0.97%
8419,34,MRU,0.11,0.96%
2486,71,MRU,0.10,0.96%
10477,104,MRU,0.10,0.96%
10994,99,MRU,0.10,0.96%
10080,42,MRU,0.10,0.95%
809,46,MRU,0.00,1.19%
6007,41,MRU,0.11,1.19%
10409,86,MRU,0.10,1.18%
2181,45,MRU,0.10,1.18%
10924,117,MRU,0.10,1.18%
518,123,MRU,0.10,1.18%
3033,22,MRU,0.10,1.17%
2771,66,MRU,0.10,1.17%
12244,50,MRU,0.10,1.17%
12420,156,MRU,0.10,1.17%
12219,37,MRU,0.10,1.16%
4899,134,MRU,0.10,1.16%
9270,91,MRU,0.10,1.16%
844,41,MRU,0.10,1.15%
7449,114,MRU,0.10,1.15%
2741,128,MRU,0.10,1.15%
10752,16,MRU,0.10,1.15%
432,115,MRU,0.10,1.14%
623,131,MRU,0.10,1.14%
3329,92,MRU,0.10,1.14%
3667,43,MRU,0.10,1.14%
1546,122,MRU,0.10,1.13%
6439,168,MRU,0.10,1.13%
11116,161,MRU,0.10,1.13%
11952,50,MRU,0.10,1.13%
2634,53,MRU,0.10,1.12%
5172,103,MRU,0.10,1.12%
11245,60,MRU,0.10,1.12%
5740,80,MRU,0.10,1.12%
12871,169,MRU,0.10,1.11%
2039,63,MRU,0.10,1.11%
1727,55,MRU,0.10,1.11%
7388,70,MRU,0.10,1.11%
9691,60,MRU,0.10,1.10%
6342,80,MRU,0.10,1.10%
10466,29,MRU,0.10,1.10%
1273,31,MRU,0.10,1.10%
3075,154,MRU,0.10,1.09%
9368,60,MRU,0.10,1.09%
9180,60,MRU,0.10,1.09%
11293,60,MRU,0.10,1.09%
3092,123,MRU,0.10,1.08%
3430,30,MRU,0.10,1.08%
12191,187,MRU,0.10,1.08%
9483,52,MRU,0.10,1.08%
11223,161,MRU,0.00,1.29%
4179,64,MRU,0.11,1.29%
11389,174,MRU,0.10,1.28%
12629,32,MRU,0.10,1.28%
4959,46,MRU,0.10,1.28%
9414,34,MRU,0.10,1.28%
11881,99,MRU,0.10,1.27%
12272,63,MRU,0.10,1.27%
2504,133,MRU,0.10,1.27%
3853,51,MRU,0.10,1.27%
5659,67,MRU,0.10,1.26%
2371,151,MRU,0.10,1.26%
5508,160,MRU,0.10,1.26%
10833,68,MRU,0.10,1.26%
289,29,MRU,0.10,1.25%
8264,158,MRU,0.10,1.25%
10452,29,MRU,0.10,1.25%
8911,96,MRU,0.10,1.24%
6651,44,MRU,0.10,1.24%
12057,187,MRU,0.10,1.24%
8181,65,MRU,0.10,1.24%
11082,68,MRU,0.10,1.23%
10096,42,MRU,0.10,1.23%
869,28,MRU,0.10,1.23%
5375,98,MRU,0.10,1.23%
12900,63,MRU,0.10,1.22%
12459,37,MRU,0.10,1.22%
7211,119,MRU,0.10,1.22%
10462,130,MRU,0.10,1.22%
1318,52,MRU,0.10,1.21%
3143,105,MRU,0.10,1.21%
9244,153,MRU,0.10,1.21%
1774,55,MRU,0.10,1.21%
10122,42,MRU,0.10,1.20%
10391,104,MRU,0.10,1.20%
2938,48,MRU,0.10,1.20%
8416,83,MRU,0.10,1.20%
10157,179,MRU,0.10,1.20%
4959,46,MRU,0.00,1.39%
4707,33,MRU,0.00,1.59%
5807,111,MRU,0.10,1.58%
10297,55,MRU,0.10,1.58%
11119,161,MRU,0.10,1.58%
4293,25,MRU,0.10,1.57%
3098,123,MRU,0.10,1.57%
9753,122,MRU,0.10,1.57%
969,49,MRU,0.10,1.57%
81,22,MRU,0.10,1.56%
464,22,MRU,0.10,1.56%
10216,60,MRU,0.10,1.56%
9711,60,MRU,0.10,1.55%
12049,42,MRU,0.10,1.55%
7239,44,MRU,0.10,1.55%
9165,153,MRU,0.10,1.54%
